,match,year,round,round_number,games_loser,games_winner,loser,sets_loser,sets_winner,surface,winner,tourney_name,tourney_order
20,1,1884,third round,3,13.0,13.0,P Willis,1,2,grass,RL Beeckman,usopen,4
836,2,1884,third round,3,2.0,12.0,WB Eaton,0,2,grass,P Knapp,usopen,4
1510,3,1884,third round,3,13.0,16.0,J Clark,1,2,grass,H Taylor,usopen,4
2046,4,1884,third round,3,13.0,14.0,RF Conover,1,2,grass,A Van Rensselaer,usopen,4
2982,6,1884,third round,3,15.0,16.0,EK Butler,1,2,grass,G Richards,usopen,4
3381,7,1884,third round,3,5.0,12.0,PR Lyman,0,2,grass,C Clark,usopen,4
3774,8,1884,third round,3,5.0,12.0,M Fielding,0,2,grass,AC Salt,usopen,4
17,1,1884,quarterfinals,5,3.0,12.0,RL Beeckman,0,2,grass,P Knapp,usopen,4
833,2,1884,quarterfinals,5,5.0,12.0,A Van Rensselaer,0,2,grass,H Taylor,usopen,4
2045,4,1884,quarterfinals,5,4.0,12.0,AC Salt,0,2,grass,C Clark,usopen,4
19,1,1884,semifinals,6,9.0,14.0,Percy Knapp,1,2,grass,Howard Taylor,usopen,4
835,2,1884,semifinals,6,11.0,14.0,Clarence Clark,1,2,grass,William VS Thorne,usopen,4
15,1,1884,final,7,15.0,22.0,William VS Thorne,1,3,grass,Howard Taylor,usopen,4
837,2,1885,first round,1,3.0,12.0,GA Smith,0,2,grass,RL Beeckman,usopen,4
2047,4,1885,first round,1,6.0,12.0,CE Garrett,0,2,grass,FS Mansfield,usopen,4
2580,5,1885,first round,1,6.0,13.0,W Shippen,0,2,grass,P Knapp,usopen,4
2983,6,1885,first round,1,9.0,15.0,FJ Hynes,0,2,grass,SH Hooper,usopen,4
3775,8,1885,first round,1,14.0,17.0,HS Morgan,1,2,grass,C Nightingale,usopen,4
4749,11,1885,first round,1,8.0,13.0,P Presbry,0,2,grass,CB Davis,usopen,4
5329,13,1885,first round,1,4.0,12.0,MA Howe,0,2,grass,W Berry,usopen,4
5619,14,1885,first round,1,14.0,16.0,W Lewis,1,2,grass,F Warren,usopen,4
5904,15,1885,first round,1,9.0,15.0,EH Gillette,0,2,grass,F Keene,usopen,4
23,1,1885,second round,2,14.0,15.0,RL Beeckman,1,2,grass,J Clark,usopen,4
